number,sample,locality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84
11,JR11429,GrizzlyIs,-0.051428067,-56.8168742,5.861808853,2.189091242,2.03316841,-2.759550467,0.821824588,-67.78068283,-5.975250697,-14.61056291,-6.930567249,-13.94292271,-7.85009425,2.375761712,5.986502732,5.939691315,-3.091986114,0.354262796,-3.686028083,-7.956906571,9.69153612,-4.166388059,2.207807135,1.745605929,3.582484594,4.23629933,-1.222167838,4.641793134,0.254903329,3.831438483,-1.512868238,1.746790664,0.476651456,-3.581148466,-0.820412083,0.263800405,-3.683077459,-0.442241338,1.249983936,1.597772669,1.051218071,-0.840351268,2.705323279,2.806630931,-1.029687011,0.045236798,-0.869659644,-0.948548829,0.490166332,-1.102347071,-1.722849773,0.62821921,0.096007505,-0.047468652,-0.193238284,-0.17707644,0.268656493,0.071844499,0.19659742,-0.01762945,-0.134208936,0.464502144,-0.194333964,-0.508678959,-0.449047339,0.578072678,-0.242615121,-0.119929943,0.537316509,-0.80980075,-0.000738564,0.154231363,-0.021192728,-0.70522056,0.041423892,0.51526362,0.379636401,0.064038131,-0.284028782,0.379297306,-0.543477447,-0.033195941,-0.033228556,5.83E-13
12,JR11430,GrizzlyIs,0.168468347,-54.58004939,3.56789758,0.282452912,0.172060612,-4.012545042,-0.601447557,-3.634752091,-2.840636907,2.072310715,0.709357862,5.2191319,6.620579574,6.522732074,-0.997598141,-6.018665631,-2.398444802,-3.953199776,1.175721893,17.70391835,-8.862387951,22.32294597,-20.9506058,20.21013269,8.207894955,25.23168983,11.66170691,-9.580537593,-7.076783482,-16.16852921,4.0757564,-12.2184668,20.87365984,6.615518964,21.00034547,4.171497966,-8.699820399,6.808917148,3.163202462,-2.863532749,-0.575530076,3.078505094,-7.158819124,1.677766363,-5.876197846,-2.734287149,1.986393249,4.056404218,-4.414433891,-0.581093912,-2.329078217,0.966684531,0.856856471,-0.471310099,0.3459421,0.011480324,1.142160732,1.039149782,0.425880237,1.03429973,-0.381675898,1.171770488,-0.077461752,0.156472276,0.619354531,0.265449196,-0.069561235,-0.413207666,0.682846688,-0.134598028,0.198470612,0.96697663,0.481705716,-0.040079852,0.019743389,0.352230687,0.281394848,0.777656614,0.160866683,0.123373718,-0.736949663,-0.215934901,-0.194246005,1.10E-13
13,JR11431,GrizzlyIs,0.371107184,-53.33932672,4.438593454,0.627249018,1.727387314,-0.057322201,-2.443252349,-1.788042177,-0.294251148,2.296528243,0.86231777,10.75593579,8.099377456,3.294998786,-5.742415959,12.83721839,12.91592408,10.75801415,-0.698128961,10.29586334,-33.14397182,3.554444436,-0.986769788,-8.863539853,-10.06562872,24.05937411,-11.75069583,13.79343261,8.105538342,-0.11177439,-0.463828644,-5.314715822,-4.924778938,-24.67239614,-20.18858196,-2.640248236,1.853217275,-12.36639701,-12.95626595,3.197697709,-8.016657314,-5.711594407,-0.935118143,0.401564395,-2.727085009,-4.84631609,-2.102578045,-4.308689142,0.443127423,0.280500373,0.857823956,2.180417982,0.200369937,-0.178795565,0.674853043,0.632315751,0.112720974,1.154521818,0.820669433,0.051131353,0.676589355,0.535011018,0.1095691,-1.243105402,0.220292304,-0.13199339,-1.119321913,-0.038203797,0.34866692,0.187654804,0.797294944,0.118055983,0.353957104,-0.259480321,-0.106149919,0.646388793,-0.583392322,0.0323536,0.296756684,-0.039384341,-0.00431753,0.167482124,-0.073826312,-2.81E-13
14,JR11432,GrizzlyIs,2.664141467,-54.41686379,4.302592955,0.389229962,-1.162647461,-2.502970689,3.869143664,-3.970348382,-2.536741146,3.528427538,-6.184411134,0.356093387,0.036501136,3.591340912,2.952487248,-1.039068988,7.849621793,-4.30525639,2.364725005,21.20446308,-11.0288804,-2.512745635,-22.99800179,-8.340989304,-2.618874482,-46.16290045,-1.589573328,11.33336031,5.025639477,-11.26188972,-5.638581844,12.48448763,13.40500415,4.23877004,-1.857243043,-1.980950521,-3.323725262,0.560111836,-14.82370235,-6.850344642,2.134551939,10.31376768,-1.875515505,4.466022386,0.786947073,-0.025598688,-3.46828206,-2.053518322,-0.726443226,-0.595156721,-0.322126459,-0.262514834,0.078224724,-1.03442478,0.723847934,0.301538298,-0.35301109,0.036915127,1.120563737,-0.349384366,-0.855587108,0.42559942,0.639669182,-0.882390007,0.442788724,0.090639359,-0.138928342,-0.0557038,-0.475084,-0.492296149,0.09351994,-0.393147375,0.249124851,0.687882894,-0.044168975,0.086176112,-0.144352968,-0.256143657,0.341424216,-0.098222133,-0.640802973,-0.146480957,-0.004033087,5.33E-14
15,JR11433,GrizzlyIs,2.714448534,-52.47431226,6.523056823,1.185598598,-0.053752723,-0.279811213,0.692130837,1.634068474,1.406242539,-0.209903955,-0.470516738,3.051844669,3.821537098,4.079757491,-4.422687457,6.455132589,-2.677934662,0.972805143,-2.819837886,5.200875626,-7.00833052,5.507133306,-8.999310531,-1.384582237,4.581230107,-10.10974028,-13.70001267,-6.009110906,11.56438813,8.85372384,-15.81628509,-7.381861922,-17.66103443,15.83117462,11.66253777,-4.150771954,4.781832138,-19.36112838,34.91601862,7.426601601,-20.6488775,1.325091563,14.13994455,-4.001206759,-1.855869073,3.700302734,9.434729434,2.541897862,-0.359766097,0.221507262,-1.585488322,-0.987455722,1.326465101,-0.77351485,-0.028612876,0.367266603,-0.909657119,-0.641099649,0.332970968,0.854547244,-0.115009936,0.551737815,0.631852516,-0.07740507,0.165475761,-0.038112857,-0.62152544,-0.307827819,-0.769374817,0.812452474,0.259265483,-0.132833987,0.334450732,-0.562144763,0.784277898,0.314654105,0.53648917,-0.123929281,-0.878590948,0.914836436,0.855215297,0.049936385,-0.108594484,-2.12E-13
16,JR401991,PuertoViejo,-47.90741476,1.50327947,-0.645206704,15.87671965,3.503051574,2.069006793,-0.612827775,1.903641913,0.238100213,3.101129721,-0.840727062,-0.543426728,-3.049403938,2.46972586,5.958160321,-5.696355902,4.7484529,2.554370195,-1.262710283,0.454381846,0.247439403,-0.205850216,1.079462674,-0.694211645,0.412966287,1.120313058,-2.35523641,-1.835100875,-0.659942438,2.101838346,0.63464146,-0.362973716,-1.529914337,-0.364829595,-1.525417589,-1.068043229,-1.983758771,-0.770407578,1.292411988,1.436002729,0.663600056,1.374652805,-2.281859848,2.348746157,1.827190779,-0.448582201,0.49402535,0.15033094,-1.120498074,3.655980653,-1.162963819,-9.721053699,15.63722465,-6.741850152,4.888001014,-22.91178072,28.64577548,-9.064808486,8.924770188,-14.57465222,-8.203340107,4.437847173,-5.951550385,10.26509809,-3.19033529,1.769546418,-2.314346702,2.539181559,-0.309387859,-10.30251714,1.492288657,-8.415286925,-1.981037349,0.590949486,-7.595285139,-4.111948083,2.630480752,-2.890810701,1.7420009,-0.486179226,-0.694820735,-0.119847919,-0.214553662,-7.23E-14
17,JR401992,PuertoViejo,-47.3875032,2.066090209,-2.453142038,17.16003604,3.29030712,1.934408863,1.101825144,1.000047383,-0.300060634,2.605780102,-0.076243454,0.143810993,-2.801985945,0.577679806,8.036235425,-5.527760795,5.673956094,1.772515375,-0.029216836,-0.584231175,0.352731198,-2.226548107,0.416599723,-0.874392305,1.631659464,1.106887933,-1.153708252,1.113954316,0.388019253,-0.981969707,-0.714256137,-2.009384556,0.066693989,-0.791852219,0.207028115,0.567994722,-0.919223119,-1.188570099,1.149967696,2.289669707,1.285690767,1.766063865,-0.076983175,-1.262480267,1.210639814,-0.325851364,0.20944966,1.869117201,-1.055123756,1.583227528,10.42176997,-6.760860148,-10.82025243,-9.506791974,-6.894393012,-5.076570996,7.525373417,9.008684947,-28.58872886,14.72429387,-6.668712351,11.877693,6.30082372,-8.943742305,-10.57252992,-10.25412126,6.566154461,-13.85403777,-7.464086257,-1.744719443,2.652196802,0.375314795,3.356356308,-2.427257637,-2.902087008,-8.326886017,0.889014695,-3.612270334,-0.312401761,-3.224749298,-3.472648858,0.404453567,-0.096854894,-4.00E-13
18,JR401993,PuertoViejo,-45.64192215,2.373291668,-1.391912765,16.3115436,2.422259366,2.859717857,0.225671503,1.426738288,-0.913366447,3.890279885,0.562832298,-0.921389112,-1.704399491,1.410408352,6.934601969,-5.308762455,5.269963432,2.330177905,0.579593646,-0.719180008,2.087122409,-1.494307237,0.975357224,-0.165974428,1.639843638,-0.004840032,-0.218286512,0.427447013,1.246204268,-0.357574737,-1.452997885,-0.262805914,-0.909238266,0.288735688,0.416685028,-0.574799713,-0.314330268,1.266282558,1.248932575,2.399558025,-0.638118563,-1.113437905,-2.289828216,0.166150654,2.084431341,1.084340804,2.000379877,-1.195311501,-1.737541958,6.871094293,8.323315408,2.27662558,-3.101674212,-9.419847875,-20.18439988,14.30442413,10.78518269,8.914691312,11.97852248,18.05077408,17.32082633,-0.492569698,-6.406149883,-1.631370819,10.43153057,17.86283956,-3.553673456,9.38478405,1.101273196,-12.71592028,-2.413068133,-0.875404481,-2.872023607,-0.368859661,0.462962566,-1.687714772,-3.656008705,-1.297398793,3.776620555,-3.503622428,-2.309559423,0.149271141,-0.049717816,-4.02E-13
19,JR402992,PuertoViejo,-40.53415254,-0.650937838,-0.823207898,13.08479555,2.393657687,1.972402744,-0.069034894,0.190596103,0.51337005,3.054356435,-0.224622154,0.379197898,-2.119992818,-0.002995187,5.745157325,-3.783007725,4.20793584,1.133992527,0.126546595,-0.418520286,0.272636004,-0.961600497,0.61158825,-0.631526834,1.079855884,0.454730497,0.233621216,-0.001801758,0.725006156,-0.518877812,-0.825806703,-0.676833888,0.691649875,-0.303657263,-0.436481627,-0.451424706,-1.519787267,1.917016914,0.802306538,0.580114541,0.312538596,0.284731518,-0.13176463,-0.060245062,1.724957847,1.631793987,-0.26618475,-0.433165504,-0.985092026,4.973318129,2.432813547,-4.186726508,7.786684347,7.029613688,-15.54065521,3.131977421,10.53634283,4.558770702,-1.487983834,-9.122038983,8.023387204,-26.0278479,11.50185347,5.814030315,-9.746381388,-1.185399871,-4.906368239,-3.240009423,-4.075029254,18.29679182,5.725338843,5.00093688,18.86397459,2.986953182,4.865743247,6.642030575,1.209802481,7.02600714,-3.787369033,1.040376372,1.190891631,-0.595936425,0.180601529,-2.96E-13
20,JR411991,LopezMateos,-47.34543101,6.991944726,3.011436023,4.624444913,0.20633981,-0.533053501,0.498204863,-0.392618405,-0.775028326,-2.840941838,0.610916052,0.040089021,4.232374983,-4.506507941,-8.762025671,6.28456573,-6.087789581,-2.558188985,-0.232294556,-0.284952816,-0.761609699,3.474037115,0.491116445,1.002040792,0.016136659,-0.746671156,-0.403147887,-0.649172473,-1.580509586,1.184078753,0.760751632,1.755293331,2.36037034,0.654239407,-0.846586211,-0.794732417,-1.236057745,-1.136912125,0.034392723,-1.196012912,2.103890762,-0.688141971,-1.000190779,-5.639203081,1.425676852,1.663458848,-1.500643433,0.776279553,-0.404258166,14.02911503,3.018057133,-8.691092744,-3.704175751,-1.68996951,-4.750719888,-3.242689815,-1.454082327,1.801961002,0.113449684,-6.203577646,4.265714484,-10.01429062,6.114955605,-9.947103199,3.71233322,-25.2431746,6.692345756,9.94676266,-1.423623241,-17.18181384,-10.50427485,0.609890942,-9.113226828,8.642735564,1.468207775,20.33363049,-1.747894265,-4.8281282,-1.052159818,3.827282019,-0.765282936,-0.091700847,0.057137549,-4.51E-13
